高朋满座	2347277	1991	7.2	377	16.5	32.1	45.3	5.8	0.4	
狂吻俄罗斯	1962939	1994	6.5	577	5.5	26.5	58.8	8.3	1.0	
花田喜事	1416728	1993	7.5	34705	17.9	43.5	34.3	3.7	0.6	
年年有今日	4191644	1994	7.8	281750	24.5	44.4	27.6	3.0	0.4	
白日女鬼	2995142	1994	5.7	102	5.9	11.8	50.0	26.5	5.9	
梅雨季节	1766592	1995	8.4	293	43.3	36.7	17.2	1.7	1.1	
红番区	1296011	1995	7.3	44300	11.4	44.2	41.4	2.7	0.3	
铜马铁燕传奇	2995215	1995	5.3	213	3.9	9.0	51.6	21.3	14.2	
市政厅	3713860	1996	8.5	10557	46.9	35.1	15.7	1.9	0.3	
疯狂的兔子	1938923	1997	6.6	8740	13.9	26.0	42.5	11.1	6.5	
97家有喜事	1305197	1997	7.4	45111	16.8	41.9	37.1	3.7	0.5	
阴阳路	1480051	1997	6.6	7177	7.2	27.8	54.7	8.9	1.4	
猫咪小贝	3642274	1999	8.6	3473	47.1	36.0	15.3	1.4	0.2	
桃色陷阱	1293819	1999	5.7	492	2.8	13.8	55.1	24.8	3.5	
没事偷着乐	1300678	1999	7.5	21191	14.5	47.3	35.7	2.2	0.4	
女人的天空	26745186	1999	7.3	935	29.8	28.3	24.9	9.5	7.5	
缘，妙不可言	2148618	1999	5.3	8833	1.4	7.1	53.4	30.5	7.7	
特警新人类	1299048	1999	6.3	18603	4.4	20.0	61.5	12.1	2.0	
那个夏天的日子	1779364	1999	8.5	252	45.5	33.8	18.8	1.9	0.0	
宝莲灯	2327493	1999	6.1	10913	10.1	18.8	43.8	19.4	8.0	
龙飞凤舞	7163765	1999	6.7	130	15.1	23.7	45.2	14.0	2.2	
阴阳路六之凶周刊	26961002	1999	5.3	2787	5.2	11.8	37.4	31.5	14.0	
红岩第1部	2049761	1999	9.1	5931	62.8	29.0	6.8	0.8	0.6	
红岩 第2部	26675621	1999	8.3	675	39.0	40.7	17.5	1.4	1.4	
红岩 第3部	5968831	1999	9.1	2699	65.8	26.7	6.4	0.5	0.6	
新家法	2084048	1999	6.3	4961	5.6	20.9	60.0	11.8	1.7	
我的1919	1316511	1999	8.0	9554	26.5	49.7	21.9	1.6	0.3	
国歌	1868115	1999	6.5	1082	7.8	22.4	59.9	7.4	2.5	
美丽新世界	1419942	1999	6.8	2491	12.3	31.4	42.4	11.2	2.6	
我的父亲母亲	1294007	1999	7.9	67746	23.8	48.0	26.2	1.8	0.3	
月蚀	3289086	1999	6.4	105817	9.0	23.4	49.7	14.3	3.6	
缘份的天空	1298128	2000	7.9	161563	24.2	49.7	24.2	1.6	0.2	
会飞的花花	2997437	2000	6.9	79	11.8	43.1	29.4	9.8	5.9	
辣妹天使	3134873	2000	4.8	33	4.3	4.3	39.1	30.4	21.7	
宇宙与人	1464628	2000	8.3	1228	41.8	36.5	17.8	3.3	0.6	
足球大侠	4172589	2000	5.1	50	3.4	10.3	27.6	48.3	10.3	
草房子	1302666	2000	8.1	1326	30.9	47.8	19.3	1.6	0.4	
卧虎藏龙	1301168	2000	7.9	172117	27.2	45.1	25.2	2.2	0.4	
龙套	6307282	2001	6.6	62	5.7	25.7	62.9	5.7	0.0	
刑警故事	3176293	2000	7.0	37	19.0	23.8	52.4	0.0	4.8	
爱在塬上的日子	1291558	2001	7.7	49601	22.3	44.5	29.4	3.2	0.6	
紫日	1308078	2001	8.0	32814	29.3	47.4	20.5	2.3	0.6	
生旦净末	2080558	2001	7.6	74	23.1	40.4	32.7	1.9	1.9	
月圆今宵	2264018	2001	6.2	39	4.3	26.1	47.8	17.4	4.3	
致命密函	2079752	2001	5.2	138	2.3	6.9	49.4	29.9	11.5	
珍珠港	1302987	2001	7.8	140737	23.2	46.5	27.3	2.6	0.4	
为人之母	26972557	2001	7.9	4416	24.8	47.2	25.5	2.1	0.4	
北京乐与路	1298213	2001	7.1	18343	13.3	38.1	38.5	8.1	2.0	
花眼	1421779	2002	6.5	1916	10.3	28.0	44.6	11.9	5.0	
沉甸甸的十六岁	26662489	2002	5.1	11301	12.5	12.0	26.5	17.9	31.1	
哈利·波特与魔法石	1295038	2002	8.7	253215	47.3	39.9	12.0	0.7	0.2	
麻辣女生	2303776	2002	6.9	236	15.3	31.3	42.0	8.0	3.3	
烟雨红颜	1456391	2002	6.4	1873	10.0	23.4	47.7	15.9	3.0	
丈母娘来了	6788274	2002	5.7	975	5.2	17.7	47.0	18.9	11.3	
指环王1：魔戒再现	1291571	2002	8.9	308056	56.4	33.2	9.4	0.7	0.2	
恰同学少年	2148367	2002	8.5	11855	44.9	38.0	14.2	1.7	1.1	
开往春天的地铁	1305466	2002	7.0	35209	10.4	36.7	46.1	5.9	0.9	
冲出亚马逊	1464563	2002	6.4	30820	7.4	26.6	48.1	12.6	5.3	
喋血黄沙	1296519	2002	8.3	36378	33.7	49.0	16.3	0.8	0.2	
百骏图	1292858	2002	6.7	382	6.8	30.1	53.4	8.2	1.4	
蜘蛛侠	24753477	2002	7.4	153710	14.9	45.6	34.4	4.1	0.9	
和你在一起	1307702	2002	7.7	30811	22.1	47.2	27.0	3.1	0.6	
猎豹	1305955	2002	4.3	118	3.2	8.1	21.0	37.1	30.6	
英雄	1306123	2002	6.8	129066	12.5	31.7	43.7	9.8	2.3	
黑白	25723093	2003	5.2	735	4.8	11.9	38.0	30.4	14.9	
聊聊	1483949	2003	7.2	227	14.7	39.7	38.5	6.4	0.6	
哈利·波特与密室	1296996	2003	8.2	176399	30.9	48.3	19.6	1.1	0.2	
惊涛骇浪	1298406	2003	7.5	1611	13.5	47.5	37.8	0.9	0.4	
少年英雄	2154862	2003	7.6	22618	18.6	44.0	34.5	2.4	0.5	
淘气少女求爱记	1787819	2003	6.5	9340	7.1	24.2	57.6	9.7	1.5	
成人仪式	2003514	2003	5.9	61	5.0	20.0	50.0	15.0	10.0	
指环王2：双塔奇兵	1291572	2003	8.9	275515	57.7	32.8	8.8	0.6	0.2	
冬至	6118626	2003	8.3	3193	35.2	46.2	16.6	1.5	0.6	
黑客帝国2：重装上阵	1304141	2003	8.4	140247	38.1	43.8	16.6	1.3	0.2	
危险智能	2241532	2003	6.5	56	19.0	19.0	33.3	23.8	4.8	
绿茶	1308699	2003	6.2	28139	5.0	21.1	54.4	16.8	2.8	
终结者3	1305333	2003	7.0	59593	10.7	37.2	45.8	5.6	0.7	
诺玛的十七岁	26757951	2003	3.0	1604	1.2	1.2	10.2	20.1	67.2	
三十八度	1476912	2003	6.2	1217	3.9	20.1	60.6	13.3	2.1	
无间道	1307914	2003	9.0	413972	58.4	34.2	7.0	0.3	0.1	
中国功夫少女组	1771343	2003	4.9	543	3.6	6.1	37.6	34.5	18.2	
天地英雄	1302705	2003	6.4	20795	7.2	25.7	51.3	13.4	2.4	
黑客帝国3：矩阵革命	1302467	2003	8.5	151211	43.8	39.1	15.3	1.4	0.3	
绿巨人浩克	1307354	2003	6.5	51885	6.1	27.2	55.2	10.0	1.4	
加勒比海盗	1298070	2003	8.6	344105	43.1	43.7	12.4	0.7	0.1	
散打	1417441	2004	6.1	545	6.9	19.6	52.0	15.9	5.6	
飞鹰	1307186	2004	5.2	16536	1.6	7.9	47.6	32.9	10.1	
山楂树	4151110	2004	6.6	185601	8.9	30.0	47.9	10.6	2.5	
城市女孩	2988894	2004	8.0	63	32.5	37.5	27.5	0.0	2.5	
神枪手	3002820	2004	5.8	22971	2.8	15.0	56.9	20.7	4.6	
指环王3：王者无敌	1291552	2004	9.1	292237	63.5	28.2	7.5	0.5	0.2	
火山高校	1295703	2004	5.9	5740	4.6	17.8	50.3	20.3	7.0	
我爱杰西卡	1872682	2004	6.4	86	11.9	25.4	42.4	11.9	8.5	
反恐特警组	26882430	2004	7.0	105	17.1	27.1	42.9	11.4	1.4	
云的南方	1418292	2004	7.9	1521	23.0	51.6	23.9	1.4	0.1	
三毛救孤记	2129402	2004	6.3	87	12.3	15.8	52.6	14.0	5.3	
黄昏清兵卫	1307306	2004	8.7	16241	45.5	44.6	9.3	0.5	0.1	
旋风腿	25748643	2004	7.8	928	24.4	46.0	25.2	3.5	0.8	
烛光	3272920	2004	8.7	37	41.7	50.0	8.3	0.0	0.0	
茉莉花开	1302795	2004	7.1	35840	12.4	39.6	41.4	5.7	0.9	
后天	1308779	2004	8.0	207918	25.3	51.4	21.7	1.3	0.2	
怪物史瑞克2	1291582	2004	7.5	66702	15.4	48.6	33.6	2.2	0.2	
美丽上海	1422040	2004	7.5	2698	19.3	43.4	32.7	3.7	0.9	
十面埋伏	1308722	2004	5.7	100949	3.6	15.0	49.8	24.9	6.7	
自娱自乐	1316581	2004	5.8	5142	5.8	17.3	45.2	23.8	7.8	
我男朋友的罗曼史	1526760	2004	6.0	1486	2.9	16.4	60.4	16.4	3.8	
少年陈真	3229450	2004	4.2	97	5.0	0.0	25.0	40.0	30.0	
特洛伊	1308751	2004	7.4	89348	15.4	42.6	37.1	4.3	0.6	
可可西里	1308857	2004	8.7	126763	46.1	41.8	11.1	0.8	0.3	
天下无贼	1291550	2004	7.7	223139	17.9	50.4	29.3	2.1	0.3	
放牛班的春天	1291549	2004	9.2	468261	65.3	29.6	4.9	0.2	0.1	
哈利·波特与阿兹卡班的囚徒	1291544	2004	8.2	164423	31.5	46.8	20.3	1.2	0.2	
新警察故事	1306160	2004	7.2	132755	11.3	43.3	41.2	3.6	0.5	
张思德	1938260	2004	6.5	1779	8.8	27.4	49.0	10.6	4.3	
珍珠衫	3032555	2004	4.8	52	11.1	0.0	33.3	29.6	25.9	
胡同里的波西米亚人	1476255	2005	7.5	125	13.8	53.8	28.7	3.8	0.0	
情人结	1316506	2005	6.6	19344	8.3	27.4	53.2	9.8	1.3	
加菲猫	1308776	2004	7.6	103178	19.0	46.7	31.2	2.8	0.4	
我为谁狂	1473215	2005	7.0	556	8.7	40.5	43.5	6.9	0.5	
初试锋芒	3260389	2005	6.3	107	15.2	21.2	39.4	12.1	12.1	
绿草地	1479807	2005	7.6	1789	17.7	50.2	28.9	2.8	0.4	
一石二鸟	1457319	2005	4.0	15899	1.2	3.6	24.1	37.7	33.4	
窒息	1415200	2005	4.6	883	1.7	6.7	33.4	35.5	22.6	
孔雀	1309004	2005	7.9	71579	23.5	49.1	25.0	2.1	0.3	
美人依旧	1329938	2005	6.1	6371	5.1	20.4	53.5	17.6	3.4	
破釜沉舟	10535502	2005	7.9	8767	32.0	38.0	24.2	4.9	0.9	
一个陌生女人的来信	1308799	2005	7.5	87775	19.4	42.3	32.8	4.5	1.0	
桃花灿烂	1466731	2005	7.1	1237	14.8	36.5	37.3	9.9	1.5	
租期	1875310	2005	6.6	2279	6.7	30.6	51.1	9.1	2.4	
好大一对羊	1394530	2005	7.4	167	13.9	48.4	33.6	3.3	0.8	
鸿门宴	5908477	2005	6.3	80729	7.5	26.6	45.2	15.3	5.4	
红孩儿：决战火焰山	1419661	2005	6.6	1191	10.9	25.3	49.8	10.2	3.8	
鲨鱼故事	1308757	2005	7.1	32969	10.0	38.6	46.2	4.7	0.5	
结果	1762077	2005	6.1	508	7.1	28.7	37.2	18.3	8.7	
姐姐词典	1461180	2005	6.8	335	7.4	35.1	48.5	7.4	1.7	
星球大战前传3：西斯的复仇	1309078	2005	8.2	53795	32.6	46.7	18.7	1.6	0.4	
终极挑战	2106269	2005	4.5	167	1.9	6.5	31.8	32.7	27.1	
两个人的芭蕾	1857405	2005	7.6	1147	19.1	49.6	26.3	4.0	1.0	
任长霞	3292755	2005	7.1	746	17.6	33.5	38.3	6.6	4.0	
求求你表扬我	1438041	2005	6.8	13071	8.2	33.7	47.9	8.6	1.6	
山林喋血	3115176	2005	5.2	240	2.2	13.5	43.8	21.3	19.1	
鸳鸯蝴蝶	1394543	2005	7.1	6193	16.1	33.3	42.0	7.0	1.6	
头文字D	1329562	2005	6.9	137287	11.7	31.5	47.6	7.8	1.4	
马达加斯加	1309201	2005	7.7	115905	19.8	49.7	28.2	2.0	0.2	
世界之战	1309044	2005	6.5	45878	7.0	26.4	51.4	12.8	2.4	
七剑	1401205	2005	5.8	42637	2.8	15.5	55.7	21.5	4.5	
龙威父子	1920116	2005	4.1	357	3.0	2.6	22.6	38.5	33.3	
史密斯夫妇	1309199	2005	7.6	249898	17.8	46.2	32.7	2.9	0.5	
茶马古道：德拉姆	1291830	2005	8.1	3393	28.8	48.2	20.6	2.0	0.4	
人民公敌2	1419960	2005	6.4	457	6.4	26.0	52.3	12.4	2.9	
鲁迅	1459399	2005	6.9	779	13.8	31.7	44.5	8.1	1.9	
银色头发的阿基德	1448722	2006	6.5	2983	7.9	28.6	48.2	13.2	2.1	
黑社会	1309220	2005	7.9	66523	23.8	50.5	23.7	1.7	0.2	
如果·爱	1418070	2005	7.6	150509	20.9	43.7	31.4	3.5	0.5	
神话	1307023	2005	6.3	120290	5.9	21.5	54.7	15.1	2.8	
爱上爱	1480325	2006	3.0	35	0.0	0.0	18.2	13.6	68.2	
我和姐姐	1966919	2006	5.6	151	6.3	14.6	40.6	28.1	10.4	
随风而去	1765937	2005	8.1	44	25.9	51.9	22.2	0.0	0.0	
野蛮秘笈	1758336	2006	4.7	10505	1.4	5.2	38.9	38.2	16.3	
我的法兰西岁月	1464134	2005	7.0	744	13.2	38.6	38.2	6.8	3.2	
爱了再爱	4798707	2006	8.5	48535	43.1	42.4	12.5	1.4	0.5	
纳尼亚传奇1：狮子、女巫和魔衣橱	1309052	2006	7.2	105238	13.7	38.8	40.8	5.8	1.0	
双层公寓	1307046	2006	6.7	5481	6.9	31.8	51.3	8.3	1.8	
U57次谜案	2347360	2006	6.2	65	4.5	22.7	54.5	15.9	2.3	
警花燕子	1782223	2006	5.7	2947	2.7	13.8	54.6	22.6	6.2	
血战到底	6839157	2006	8.1	586	35.8	42.2	16.6	3.7	1.6	
佐罗传奇	1309042	2005	6.9	23246	8.3	35.9	50.8	4.6	0.5	
